row	col	xmin	ymin	xmax	ymax
1	83	2063305.08746798	3011045.57403268	2075305.08746798	3023045.57403268
1	84	2075305.08746798	3011045.57403268	2087305.08746798	3023045.57403268
2	78	2003305.08746798	2999045.57403268	2015305.08746798	3011045.57403268
2	79	2015305.08746798	2999045.57403268	2027305.08746798	3011045.57403268
2	82	2051305.08746798	2999045.57403268	2063305.08746798	3011045.57403268
2	83	2063305.08746798	2999045.57403268	2075305.08746798	3011045.57403268
2	84	2075305.08746798	2999045.57403268	2087305.08746798	3011045.57403268
2	85	2087305.08746798	2999045.57403268	2099305.08746798	3011045.57403268
2	86	2099305.08746798	2999045.57403268	2111305.08746798	3011045.57403268
3	77	1991305.08746798	2987045.57403268	2003305.08746798	2999045.57403268
3	78	2003305.08746798	2987045.57403268	2015305.08746798	2999045.57403268
3	79	2015305.08746798	2987045.57403268	2027305.08746798	2999045.57403268
3	81	2039305.08746798	2987045.57403268	2051305.08746798	2999045.57403268
3	82	2051305.08746798	2987045.57403268	2063305.08746798	2999045.57403268
3	83	2063305.08746798	2987045.57403268	2075305.08746798	2999045.57403268
3	84	2075305.08746798	2987045.57403268	2087305.08746798	2999045.57403268
3	85	2087305.08746798	2987045.57403268	2099305.08746798	2999045.57403268
3	86	2099305.08746798	2987045.57403268	2111305.08746798	2999045.57403268
3	87	2111305.08746798	2987045.57403268	2123305.08746798	2999045.57403268
4	77	1991305.08746798	2975045.57403268	2003305.08746798	2987045.57403268
4	78	2003305.08746798	2975045.57403268	2015305.08746798	2987045.57403268
4	79	2015305.08746798	2975045.57403268	2027305.08746798	2987045.57403268
4	80	2027305.08746798	2975045.57403268	2039305.08746798	2987045.57403268
4	81	2039305.08746798	2975045.57403268	2051305.08746798	2987045.57403268
4	82	2051305.08746798	2975045.57403268	2063305.08746798	2987045.57403268
4	83	2063305.08746798	2975045.57403268	2075305.08746798	2987045.57403268
4	84	2075305.08746798	2975045.57403268	2087305.08746798	2987045.57403268
4	85	2087305.08746798	2975045.57403268	2099305.08746798	2987045.57403268
4	86	2099305.08746798	2975045.57403268	2111305.08746798	2987045.57403268
4	87	2111305.08746798	2975045.57403268	2123305.08746798	2987045.57403268
4	88	2123305.08746798	2975045.57403268	2135305.08746798	2987045.57403268
5	77	1991305.08746798	2963045.57403268	2003305.08746798	2975045.57403268
5	78	2003305.08746798	2963045.57403268	2015305.08746798	2975045.57403268
5	79	2015305.08746798	2963045.57403268	2027305.08746798	2975045.57403268
5	80	2027305.08746798	2963045.57403268	2039305.08746798	2975045.57403268
5	81	2039305.08746798	2963045.57403268	2051305.08746798	2975045.57403268
5	82	2051305.08746798	2963045.57403268	2063305.08746798	2975045.57403268
5	83	2063305.08746798	2963045.57403268	2075305.08746798	2975045.57403268
5	84	2075305.08746798	2963045.57403268	2087305.08746798	2975045.57403268
5	85	2087305.08746798	2963045.57403268	2099305.08746798	2975045.57403268
5	86	2099305.08746798	2963045.57403268	2111305.08746798	2975045.57403268
5	87	2111305.08746798	2963045.57403268	2123305.08746798	2975045.57403268
5	88	2123305.08746798	2963045.57403268	2135305.08746798	2975045.57403268
6	76	1979305.08746798	2951045.57403268	1991305.08746798	2963045.57403268
6	77	1991305.08746798	2951045.57403268	2003305.08746798	2963045.57403268
6	78	2003305.08746798	2951045.57403268	2015305.08746798	2963045.57403268
6	79	2015305.08746798	2951045.57403268	2027305.08746798	2963045.57403268
6	80	2027305.08746798	2951045.57403268	2039305.08746798	2963045.57403268
6	81	2039305.08746798	2951045.57403268	2051305.08746798	2963045.57403268
6	82	2051305.08746798	2951045.57403268	2063305.08746798	2963045.57403268
6	83	2063305.08746798	2951045.57403268	2075305.08746798	2963045.57403268
6	84	2075305.08746798	2951045.57403268	2087305.08746798	2963045.57403268
6	85	2087305.08746798	2951045.57403268	2099305.08746798	2963045.57403268
6	86	2099305.08746798	2951045.57403268	2111305.08746798	2963045.57403268
6	87	2111305.08746798	2951045.57403268	2123305.08746798	2963045.57403268
6	88	2123305.08746798	2951045.57403268	2135305.08746798	2963045.57403268
7	76	1979305.08746798	2939045.57403268	1991305.08746798	2951045.57403268
7	77	1991305.08746798	2939045.57403268	2003305.08746798	2951045.57403268
